,seq_num,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
16,25,0,1,1,0,1,0,0,0,0,0,0,0,0,0
1,26,6,2,2,1,0,0,0,2,0,0,0,0,0,0
2,26,1,2,2,2,1,1,1,0,0,0,0,0,0,0
3,26,0,0,0,1,1,0,0,0,0,0,0,0,0,0
4,26,1,2,5,0,0,0,0,0,0,0,0,0,0,0
5,26,1,3,0,0,0,1,0,0,0,1,0,0,0,0
6,26,5,1,4,4,1,1,1,1,0,0,0,0,0,0
7,26,2,0,2,1,0,0,2,0,0,0,0,0,0,0
8,26,0,2,0,0,0,0,0,0,0,1,0,0,0,0
9,26,3,2,2,0,1,0,0,0,0,1,0,0,0,0
10,26,0,5,3,2,2,2,0,0,0,1,0,0,0,0
11,26,5,1,0,1,0,0,1,0,0,0,0,0,0,0
12,26,1,1,1,0,0,0,0,1,0,0,0,0,0,0
